[2026-08-13 18:04:33.836] [INFO] [App] RotinaRemote Client iniciando...
[2026-08-13 18:04:33.986] [INFO] [P2PListener] Listener TCP iniciado na porta 48270
[2026-08-13 18:04:33.994] [INFO] [LanDiscovery] Serviço de Descoberta LAN ativo na porta UDP 48271
[2026-08-13 18:04:34.864] [INFO] [SignalingClient] Conectado ao Servidor de Sinalização em wss://rotinaremote.onrender.com/ws
[2026-08-13 18:05:44.414] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:44.430] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:47.430] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:47.445] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:50.453] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:50.472] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:53.482] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:53.501] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:56.502] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:56.517] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:59.527] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:59.539] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:02.697] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:02.699] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:05.560] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:05.576] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:08.577] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:08.596] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:11.609] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:11.627] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:14.628] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:14.645] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:17.659] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:17.675] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:20.675] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:20.693] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:23.704] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:23.725] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:26.723] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:26.738] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:29.749] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:29.764] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:32.769] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:32.786] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:35.786] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:35.805] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:38.806] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:38.819] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:41.834] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:41.850] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:44.859] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:44.875] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:47.876] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:47.895] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:50.374] [ERROR] [MainViewModel] Erro ao conectar via TCP P2P
  Exception: TimeoutException - Tempo limite excedido ao tentar conectar a 192.168.1.77:48270.
  StackTrace:    at RotinaRemote.Client.ViewModels.MainViewModel.InitiateConnection() in C:\Users\alll\Documents\Rotinaremote\src\RotinaRemote.Client\ViewModels\MainViewModel.cs:line 403
[2026-08-13 18:06:50.900] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:50.914] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:53.915] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:53.932] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:55.675] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:55.688] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:58.699] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:06:58.718] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:01.719] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:01.735] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:04.750] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:04.764] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:07.773] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:07:07.791] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
